Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
1,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C(C)C,"4-(cyclopropylmethyl)-7-(isopropylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.0327,0.0105,0.0272
2,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)CC,"4-(cyclopropylmethyl)-7-(ethylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.0246,0.00836,0.0192
3,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1C(CN4)CC)C(N(C=C3)C)=O)S(=O)(=O)CC,"4-(cyclopropylmethyl)-3-ethyl-7-(ethylsulfonyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.046,0.00891,0.0487
4,CN1C=CC2=C(C3=C4C(NC=C4C=C2S(=O)(=O)C)CCN3)C1=O,"10-methyl-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,2,3.09,ND
5,CN1C=CC2=C(C3=C4C(NC=C4C=C2CS(=O)(=O)C)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.765,0.758,ND
6,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(cyclopropylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.00108,0.00171,0.00201
7,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)OCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"ethyl 4-(cyclopropylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxylate",B,0.0511,0.0267,0.0145
8,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.000646,0.00377,0.00568
9,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.000453,0.00111,0.000721
10,C1(CC1)CN1N=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)N,"4-(cyclopropylmethyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulene-7-sulfonamide",E,0.00694,0.00599,0.0608
11,FC1=CC=C(C=C1)N1N=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)C,"4-(4-fluorophenyl)-7,10-dimethyl-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,0.00161,0.00257,0.00164
12,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00134,0.000472,0.004
13,C1(CC1)CN1C=C2C=CC3=C(C4=C2C1CCN4)C(N(C=C3)C)=O,"4-(cyclopropylmethyl)-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00484,0.00768,0.00726
14,C1(CC1)CN1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"methyl 3-(4-(cyclopropylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanoate",E,0.0069,0.000882,0.0146
15,,"4-(cyclopropylmethyl)-3-(2-methoxyethyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[11(10H)-one",E,0.00522,0.000631,0.00875
16,C(C1=CC=CC=C1)C1CNC2=C3C1NC=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C,"3-benzyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.0926,0.0189,0.337
17,CN1C=CC2=C(C3=C4C(NC=C4C=C2CS(=O)(=O)C)C(CN3)CCC(=O)OC)C1=O,"methyl 3-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3yl)propanoate",E,0.165,0.0539,ND
18,CN1C=CC2=C(C3=C4C(NC=C4C=C2CS(=O)(=O)C)C(CN3)CCC3=CC=CC=C3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-3-phenethyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.145,0.0241,0.343
19,C(C(C)C)C1CNC2=C3C1NC=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C,"3-isobutyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.246,0.0438,0.37
20,FC1=CC=C(C=CC2CNC3=C4C2NC=C4/C=C(\C4=C3C(N(C=C4)C)=O)/CS(=O)(=O)C)C=C1,"(E)-3-(4-fluorostyryl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.158,0.0245,0.544
21,NC=1C2=C(C3=C4C(N(N=C4C1)C1=CC=C(C=C1)F)CCN3)C(N(C=C2)C)=O,"7-amino-4-(4-fluorophenyl)-10-methyl-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,0.00443,0.003,0.00105
22,FC1=CC=C(C=C1)N1N=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)NS(=O)(=O)CC,"N-(4-(4-fluorophenyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-7-yl)ethanesulfonamide",G,0.000875,0.00095,0.00171
23,FC1=C(C=CC(=C1)F)N1N=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)NS(=O)(=O)CC,"N-(4-(2,4-difluorophenyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-7yl)ethanesulfonamide",E,0.0017,0.000783,0.007
24,C(CCC)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-butyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.000963,0.000801,0.00107
25,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2CN(CC2)C(=O)OC(C)(C)C)CCN3)C1=O,"tert-butyl 3-((10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen4(3H)-yl)methyl)pyrrolidine-1-carboxylate",E,0.00174,0.000847,0.0087
26,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2COCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-((tetrahydrofuran-3-yl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.000701,0.000719,0.00103
27,FC1(CCC(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)F,"4-((4,4-difluorocyclohexyl)methyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.00119,0.00101,0.00127
28,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2CCN(CC2)C(=O)OC(C)(C)C)CCN3)C1=O,"tert-butyl 4-((10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)methyl)piperidine-1-carboxylate",E,0.0011,0.00117,0.0137
29,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2COCCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-((tetrahydro-2H-pyran-3-yl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.00695,0.00274,0.00103
30,FC1(CCC(CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)F,"4-(4,4-difluorocyclohexyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",E,0.00498,0.00136,0.00139
31,,"4-(4-fluorophenyl)-(3,3-2H)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00167,0.00118,0.000752
32,FC=1C2=C(C3=C4C(N(N=C4C1)C1=CC=C(C=C1)F)CCN3)C(N(C=C2)C)=O,"7-fluoro-4-(4-fluorophenyl)-10-methyl-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,0.00101,0.00114,0.00138
33,FC1=CC=C(C=C1)N1N=C2C=C(C3=C(C4=C2C1C(CN4)C4=CC=CC=C4)C(N(C=C3)C)=O)C,"4-(4-fluorophenyl)-7,10-dimethyl-3-phenyl-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,0.0383,0.0228,0.495
34,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)OCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"ethyl 4-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxylate",G,0.00245,0.00389,0.0147
35,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)N4CCN(CC4)C(=O)OC(C)(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"tert-butyl 4-(4-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carbonyl)piperazine-1-carboxylate",G,0.0355,0.0951,0.331
36,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2CNCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyrrolidin-3-ylmethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00505,0.00625,>1
37,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CC2CCNCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(piperidin-4-ylmethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00336,0.0024,>1
38,FC=1C2=C(C3=C4C(NN=C4C1)CCN3)C(N(C=C2)C)=O,"7-fluoro-10-methyl-3,4-dihydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulen-11(10H)-one",G,> 0.238,> 0.408,ND
39,FC=1C2=C(C3=C4C(NN=C4C1)C(CN3)C(=O)OCC)C(N(C=C2)C)=O,"ethyl 7-fluoro-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulene-3-carboxylate",G,> 0.238,> 0.408,ND
40,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)N4CCC(CC4)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-fluorophenyl)-3-(4-methoxypiperidine-1-carbonyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0294,0.136,0.398
41,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)N4CCN(CC4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-fluorophenyl)-10-methyl-3-(4-methylpiperazine-1-carbonyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0495,0.0578,>1
42,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)CC2COCC2,"5,7-difluoro-10-methyl-4-((tetrahydrofuran-3-yl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00156,0.00203,0.00544
43,FC1=CC=C(C=C1)N1N=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)OCC)C(N(C=C3)C)=O)C,"ethyl 4-(4-fluorophenyl)-7,10-dimethyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,5,10-tetraazadibenzo[cd,f]azulene-3-carboxylate",G,0.00729,0.0247,ND
44,C1(CCCC1)NC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-cyclopentyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.00261,0.00247,0.0487
45,C(C)NC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-ethyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.00392,0.00375,0.141
46,FC1=CC=C(C=C1)NC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.0137,0.00748,0.152
47,C(CCC)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)F)F,"4-butyl-5,7-difluoro-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00137,0.00127,0.00833
48,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)CCC,"5,7-difluoro-10-methyl-4-propyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00112,0.000855,0.00441
49,C1(CC1)CN1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)F)F,"4-(cyclopropylmethyl)-5,7-difluoro-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00199,0.00221,0.00863
50,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)CCCC(=O)OC,"methyl 4-(5,7-difluoro-10-methyl-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)butanoate",G,0.00344,0.00551,0.0422
51,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)CCCC2=CC=CC=C2,"5,7-difluoro-10-methyl-4-(3-phenylpropyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00443,0.0132,0.174
52,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)NC2=C(C=CC=C2)C)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-11-oxo-N-(o-tolyl)-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.0174,0.00499,0.247
53,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCC(CCCC)CC)CCN3)C1=O,"2-ethylhexyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene4(3H)-carboxylate",G,0.00478,0.0219,ND
54,C(C(C)C)(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-isobutyryl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00585,0.00145,ND
55,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)CCC2=CC=CC=C2,"5,7-difluoro-10-methyl-4-phenethyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00896,0.0159,0.146
56,O1COC2=C1C=CC(=C2)CCN2C(=C1C=C(C3=C(C4=C1C2CCN4)C(N(C=C3)C)=O)F)F,"4-(2-(benzo[d][1,3]dioxol-5-yl)ethyl)-5,7-difluoro-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0144,0.0353,0.197
57,C1(=CC=CC=C1)\C(=C/N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)F)F)\C=C\C3=CC=CC=C3,"4-((1Z,3E)-2,4-diphenylbuta-1,3-dien-1-yl)-5,7-difluoro-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0647,0.0906,ND
58,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)N)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.00202,0.000617,0.00538
59,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)NCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-N-ethyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.0031,0.000972,0.0038
60,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)N4CCN(CC4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-2-(4-methylpiperazine-1-carbonyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00255,0.0331,0.115
61,,"N-(2,6-dimethylphenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,fl azulene-4(3H)-carboxamide",G,0.0211,0.00374,> 1
62,COC1=CC=C(C=C1)NC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-(4-methoxyphenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.00723,0.00473,0.91
63,C(C)C1=CC=C(CCNC(=O)N2C=C3C=C(C4=C(C5=C3C2CCN5)C(N(C=C4)C)=O)CS(=O)(=O)C)C=C1,"N-(4-ethylphenethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.0822,0.0736,ND
64,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)NCCC)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-11-oxo-N-propyl-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.00269,0.00285,0.0846
65,COC=1C=C(CNC(=O)N2C=C3C=C(C4=C(C5=C3C2CCN5)C(N(C=C4)C)=O)CS(=O)(=O)C)C=CC1,"N-(3-methoxybenzyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,> 0.238,0.238,ND
66,ClCCNC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-(2-chloroethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,> 0.238,> 0.408,ND
67,C1(CCCCC1)CNC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-(cyclohexylmethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,> 0.238,> 0.408,ND
68,FC1=C(C=CC(=C1)F)NC(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxamide",G,0.0127,0.00422,0.0401
